id,full_name,party,gender,state,district,congressional terminology_x,congressional terminology_y,government budget_x,government budget_y,agriculture_x,agriculture_y,border enforcement_x,border enforcement_y,trade policy_x,trade policy_y,military_x,military_y,foreign policy_x,foreign policy_y,financial sector_x,financial sector_y,iraq & afghanistan wars_x,iraq & afghanistan wars_y,sports_x,sports_y,drugs war_x,drugs war_y,veteran affairs_x,veteran affairs_y,energy policy_x,energy policy_y,tobacco_x,tobacco_y,african-americans_x,african-americans_y,environment_x,environment_y,infrastructure & transportation_x,infrastructure & transportation_y,arts_x,arts_y,human rights in china_x,human rights in china_y,secondary education_x,secondary education_y,homeland security_x,homeland security_y,natural disasters_x,natural disasters_y,affordable housing_x,affordable housing_y,worker's rights_x,worker's rights_y,child welfare_x,child welfare_y,healthcare_x,healthcare_y
B000755,Kevin Brady,Republican,0,TX,8th,-12.995,10.713,-6.999,12.857,-150.683,0.749,-140.263,1.188,-5.000,4.929,-36.318,0.867,-70.963,1.520,-177.334,0.609,-121.923,0.524,-110.862,1.400,-39.245,0.485,-6.445,6.615,-27.002,2.511,-507.299,0.344,-89.174,2.761,-63.431,0.731,-184.627,1.036,-501.036,0.000,-266.096,0.362,-96.446,1.634,-9.802,2.099,-33.587,2.407,-227.187,0.534,-7.354,4.929,-226.537,0.685,-6.997,16.286
B000919,George Brown,Republican,0,CO,4th,-4.999,64.500,-10.999,11.571,-140.470,0.000,-15.128,1.524,-26.507,1.813,-19.211,4.751,-9.090,3.290,-26.233,1.676,-21.165,2.059,-144.651,0.249,-33.990,0.548,-42.847,0.185,-15.208,0.271,-655.602,0.050,-39.889,5.786,-36.838,1.871,-58.472,0.034,-4.455,0.949,-14.659,1.086,-63.648,2.901,-1.000,0.328,-68.707,0.000,-538.492,0.214,-72.982,1.680,-8.911,3.736,-1.000,1.511
B000953,Samuel Brownback,Republican,0,KS,2nd,-2.999,32.357,-6.999,13.500,-35.717,1.133,-108.344,1.025,-9.812,4.304,-2.997,6.008,-76.252,1.781,-12.409,3.615,-7.976,3.325,-132.630,0.000,-213.332,0.322,-48.229,0.017,-64.295,0.497,-430.406,0.000,-9.095,1.474,-126.603,0.325,-76.197,0.207,-157.708,0.202,-101.098,0.257,-80.900,1.299,-4.999,9.002,-200.075,0.000,-7.584,3.048,-44.668,1.414,-167.601,0.728,-4.456,4.766
B000996,Ed Bryant,Republican,0,TN,7th,-20.063,34.715,-49.423,2.653,-32.464,1.795,-15.555,3.978,-75.176,0.445,-32.930,2.115,-61.694,0.955,-85.291,1.648,-140.845,1.469,-9.941,1.828,-47.367,1.162,-20.176,5.153,-36.275,2.475,-820.438,0.052,-85.346,2.151,-30.344,0.757,-1.973,1.062,-552.306,0.154,-334.836,0.000,-82.085,0.948,-33.852,2.344,-266.916,0.450,-376.946,0.031,-68.977,0.938,-119.333,1.273,-14.999,18.643
B001063,Jim Bunn,Republican,0,OR,5th,-2.926,45.601,-4.482,5.427,-56.757,0.853,-130.463,0.445,-103.667,0.811,-28.228,4.573,-3.000,14.357,-173.880,0.581,-10.149,3.484,-47.541,0.553,-359.960,0.000,-30.912,1.034,-133.784,0.000,-32.261,0.105,-51.845,1.659,-10.836,3.747,-67.765,1.206,-686.584,0.185,-9.445,0.101,-29.624,2.429,-35.552,1.582,-43.266,2.164,-28.652,0.821,-1.000,1.367,-1.911,2.894,-8.733,7.683
B001066,Jim Bunning,Republican,0,KY,4th,-4.996,31.718,-9.000,14.143,-111.596,0.900,-57.661,2.152,-90.148,1.897,-16.515,4.115,-10.201,3.764,-18.290,2.426,-51.556,1.941,-20.917,1.605,-33.825,0.762,-34.727,0.860,-27.765,0.391,-16.637,0.640,-17.815,1.433,-114.471,0.177,-76.440,1.284,-139.369,0.185,-1.000,2.621,-76.059,0.526,-37.383,1.325,-66.977,0.545,-374.968,0.000,-35.277,3.116,-25.271,3.015,-20.105,12.643
B001126,Conrad Burns,Republican,0,MT,,-3.000,10.500,-44.112,2.964,-6.996,4.933,-3.500,2.681,-32.863,2.226,-58.549,0.000,-32.745,2.274,-128.752,0.962,-54.261,1.143,-56.369,0.451,-338.809,0.000,-4.997,12.642,-81.087,1.042,-30.525,0.000,-4.709,3.121,-4.991,4.950,-111.111,1.375,-405.974,0.000,-207.923,0.000,-6.963,4.131,-87.506,0.000,-159.527,0.413,-178.753,0.205,-60.061,1.556,-53.228,0.932,-3.000,22.929
B001135,Richard Burr,Republican,0,NC,5th,-27.392,29.571,-35.807,1.518,-15.478,2.211,-52.751,1.135,-130.194,1.278,-26.024,2.208,-40.682,3.053,-132.197,1.005,-54.726,0.387,-25.127,2.335,-5.979,1.153,-43.213,2.140,-16.495,2.353,-23.570,0.640,-70.435,1.900,-56.805,1.213,-15.100,3.507,-479.317,0.185,-315.220,0.175,-59.019,1.864,-3.000,9.858,-58.337,1.378,-94.387,0.212,-129.701,0.491,-28.493,1.695,-5.000,42.643
B001149,Dan Burton,Republican,0,IN,5th,-15.263,19.076,-35.292,5.786,-308.248,0.142,-1.000,9.643,-4.137,3.315,-21.202,3.526,-3.000,17.357,-30.191,1.723,-4.229,1.132,-16.704,0.874,-68.577,1.020,-21.689,4.980,-23.801,2.768,-511.645,0.000,-78.625,1.606,-45.022,1.445,-34.541,0.558,-959.448,0.167,-16.822,2.786,-30.605,0.319,-86.408,2.143,-225.786,0.365,-154.980,0.339,-104.669,0.410,-61.146,2.055,-4.999,16.500
B001203,Stephen Buyer,Republican,0,IN,4th,-16.999,32.357,-20.908,3.063,-99.395,1.018,-41.340,1.535,-153.513,0.632,-4.999,14.786,-13.635,4.553,-28.283,0.559,-53.328,2.326,-123.515,0.942,-179.277,0.451,-4.998,21.429,-97.955,1.202,-18.367,0.961,-28.399,1.174,-112.941,1.037,-9.074,3.726,-165.713,0.370,-94.356,0.211,-101.050,1.223,-70.434,2.886,-64.701,0.213,-532.492,0.214,-80.814,0.849,-141.919,0.744,-8.999,14.357
