id,name,district,term_start,term_end,party,clean_name,stream
G000554,Gabrielle Giffords,Arizona's 8th,2007-01-03,2012-01-25,Democratic,gabriellegiffords,72
F000453,Mary Fallin,Oklahoma 5th,2007-01-03,2011-01-03,Republican,maryfallin,73
B001256,Michele Bachmann,Minnesota 6th,2007-01-03,2015-01-03,Republican,michelebachmann,74
C001066,Kathy Castor,Florida's 11th,2007-01-03,2013-01-03,Democratic,kathycastor,75
T000465,Niki Tsongas,Massachusetts's 5th,2007-10-16,2013-01-03,Democratic,nikitsongas,49
S001175,Jackie Speier,California's 12th,2008-04-08,2013-01-03,Democratic,jackiespeier,41
E000290,Donna Edwards,Maryland's 4th,2008-06-17,2017-01-03,Democratic,donnaedwards,60
F000455,Marcia Fudge,Ohio's 11th,2008-11-18,2019-01-01,Democratic,marciafudge,9
J000290,Lynn Jenkins,Kansas's 2nd,2009-01-03,2019-01-01,Republican,lynnjenkins,19
H001044,Debbie Halvorson,Illinois's 11th,2009-01-03,2011-01-03,Democratic,debbiehalvorson,23
K000368,Ann Kirkpatrick,Arizona's 1st,2009-01-03,2011-01-03,Democratic,annkirkpatrick,25
D000608,Kathy Dahlkemper,Pennsylvania's 3rd,2009-01-03,2011-01-03,Democratic,kathydahlkemper,31
K000370,Suzanne Kosmas,Florida's 24th,2009-01-03,2011-01-03,Democratic,suzannekosmas,38
L000571,Cynthia Lummis,Wyoming's at-large,2009-01-03,2017-01-03,Republican,cynthialummis,42
M001172,Betsy Markey,Colorado's 4th,2009-01-03,2011-01-03,Democratic,betsymarkey,56
P000597,Chellie Pingree,Maine's 1st,2009-01-03,2019-01-01,Democratic,chelliepingree,76
T000468,Dina Titus,Nevada's 3rd,2009-01-03,2011-01-03,Democratic,dinatitus,77
K000372,Mary Jo Kilroy,Ohio's 15th,2009-01-03,2011-01-03,Democratic,maryjokilroy,78
C001080,Judy Chu,California's 32nd,2009-06-19,2013-01-03,Democratic,judychu,5
B001276,Ann Marie Buerkle,New York's 25th,2011-01-03,2013-01-03,Republican,annmariebuerkle,4
B001273,Diane Black,Tennessee's 6th,2011-01-03,2019-01-03,Republican,dianeblack,6
R000591,Martha Roby,Alabama's 2nd,2011-01-03,2019-01-01,Republican,martharoby,7
H001053,Vicky Hartzler,Missouri's 4th,2011-01-03,2019-01-01,Republican,vickyhartzler,23
S001185,Terri Sewell,Alabama's 7th,2011-01-03,2019-01-01,Democratic,terrisewell,25
B001270,Karen Bass,California's 33rd,2011-01-03,2013-01-03,Democratic,karenbass,31
H001056,Jaime Herrera-Beutler,Washington's 3rd,2011-01-03,2019-01-01,Republican,jaimeherrerabeutler,33
W000808,Frederica Wilson,Florida's 17th,2011-01-03,2013-01-03,Democratic,fredericawilson,38
H001054,Nan Hayworth,New York's 19th,2011-01-03,2013-01-03,Republican,nanhayworth,56
E000291,Renee Ellmers,North Carolina's 2nd,2011-01-03,2017-01-03,Republican,reneeellmers,63
N000184,Kristi Noem,South Dakota's at-large,2011-01-03,2019-01-01,Republican,kristinoem,64
A000366,Sandy Adams,Florida's 24th,2011-01-03,2013-01-03,Republican,sandyadams,68
H001050,Colleen Hanabusa,Hawaii's 1st,2011-01-03,2015-01-03,Democratic,colleenhanabusa,71
H001062,Kathy Hochul,New York's 26th,2011-06-01,2013-01-03,Democratic,kathyhochul,61
H001063,Janice Hahn,California's 36th,2011-07-12,2013-01-03,Democratic,janicehahn,73
B001278,Suzanne Bonamici,Oregon's 1st,2012-01-21,2019-01-01,Democratic,suzannebonamici,77
D000617,Suzan DelBene,Washington's 1st,2012-11-06,2019-01-01,Democratic,suzandelbene,72
H001063,Janice Hahn,California's 44th,2013-01-03,2016-12-04,Democratic,janicehahn,1
D000622,Tammy Duckworth,Illinois's 8th,2013-01-03,2017-01-03,Democratic,tammyduckworth,4
B001285,Julia Brownley,California's 26th,2013-01-03,2019-01-01,Democratic,juliabrownley,5
E000293,Elizabeth Esty,Connecticut's 5th,2013-01-03,2019-01-01,Democratic,elizabethesty,8
B001284,Susan Brooks,Indiana's 5th,2013-01-03,2019-01-01,Republican,susanbrooks,12
W000813,Jackie Walorski,Indiana's 2nd,2013-01-03,2019-01-01,Republican,jackiewalorski,15
W000812,Ann Wagner,Missouri's 2nd,2013-01-03,2019-01-01,Republican,annwagner,16
F000462,Lois Frankel,Florida's 22nd,2013-01-03,2019-01-01,Democratic,loisfrankel,26
S001191,Kyrsten Sinema,Arizona's 9th,2013-01-03,2019-01-01,Democratic,kyrstensinema,27
B001281,Joyce Beatty,Ohio's 3rd,2013-01-03,2019-01-01,Democratic,joycebeatty,28
N000187,Gloria Negrete-McLeod,California's 35th,2013-01-03,2015-01-03,Democratic,glorianegretemcleod,29
G000571,Tulsi Gabbard,Hawaii's 2nd,2013-01-03,2019-01-01,Democratic,tulsigabbard,30
M001188,Grace Meng,New York's 6th,2013-01-03,2019-01-01,Democratic,gracemeng,31
K000382,Ann McLane-Kuster,New Hampshire's 2nd,2013-01-03,2019-01-01,Democratic,annmclanekuster,34
L000580,Michelle Lujan-Grisham,New Mexico's 1st,2013-01-03,2019-01-01,Democratic,michellelujangrisham,35
W000808,Frederica Wilson,Florida's 24th,2013-01-03,2019-01-01,Democratic,fredericawilson,37
B001286,Cheri Bustos,Illinois's 17th,2013-01-03,2019-01-01,Democratic,cheribustos,38
V000081,Nydia Velázquez,New York's 7th,2013-01-03,2019-01-01,Democratic,nydiavelc3a1zquez,39
B001270,Karen Bass,California's 37th,2013-01-03,2019-01-01,Democratic,karenbass,40
S000480,Louise Slaughter,New York's 25th,2013-01-03,2018-03-16,Democratic,louiseslaughter,41
L000480,Nita Lowey,New York's 17th,2013-01-03,2019-01-01,Democratic,nitalowey,43
R000435,Ileana Ros-Lehtinen,Florida's 27th,2013-01-03,2019-01-01,Republican,ileanaroslehtinen,44
W000187,Maxine Waters,California's 43rd,2013-01-03,2019-01-01,Democratic,maxinewaters,45
B000911,Corrine Brown,Florida's 5th,2013-01-03,2017-01-03,Democratic,corrinebrown,46
E000215,Anna Eshoo,California's 18th,2013-01-03,2019-01-01,Democratic,annaeshoo,47
M000087,Carolyn Maloney,New York's 12th,2013-01-03,2019-01-01,Democratic,carolynmaloney,48
R000486,Lucille Roybal-Allard,California's 40th,2013-01-03,2019-01-01,Democratic,lucilleroybalallard,49
L000397,Zoe Lofgren,California's 19th,2013-01-03,2019-01-01,Democratic,zoelofgren,50
S000030,Loretta Sánchez,California's 46th,2013-01-03,2017-01-03,Democratic,lorettasanchez,54
C001036,Lois Capps,California's 24th,2013-01-03,2017-01-03,Democratic,loiscapps,55
L000551,Barbara Lee,California's 13th,2013-01-03,2019-01-01,Democratic,barbaralee,56
P000197,Nancy Pelosi,California's 12th,2013-01-03,2019-01-01,Democratic,nancypelosi,57
S001156,Linda Sánchez,California's 38th,2013-01-03,2019-01-01,Democratic,lindasc3a1nchez,58
N000179,Grace Napolitano,California's 32nd,2013-01-03,2019-01-01,Democratic,gracenapolitano,59
C001080,Judy Chu,California's 27th,2013-01-03,2019-01-01,Democratic,judychu,61
T000468,Dina Titus,Nevada's 1st,2013-01-03,2019-01-01,Democratic,dinatitus,68
S001175,Jackie Speier,California's 14th,2013-01-03,2019-01-01,Democratic,jackiespeier,69
T000465,Niki Tsongas,Massachusetts's 3rd,2013-01-03,2019-01-01,Democratic,nikitsongas,70
K000368,Ann Kirkpatrick,Arizona's 1st,2013-01-03,2017-01-03,Democratic,annkirkpatrick,73
C001067,Yvette Clarke,New York's 9th,2013-01-03,2019-01-01,Democratic,yvetteclarke,75
C001066,Kathy Castor,Florida's 14th,2013-01-03,2019-01-01,Democratic,kathycastor,78
M001163,Doris Matsui,California's 6th,2013-01-03,2019-01-01,Democratic,dorismatsui,79
W000797,Debbie Wasserman-Schultz,Florida's 23rd,2013-01-03,2019-01-01,Democratic,debbiewassermanschultz,80
S001170,Carol Shea-Porter,New Hampshire's 1st,2013-01-03,2015-01-03,Democratic,carolsheaporter,81
K000385,Robin Kelly,Illinois's 2nd,2013-04-11,2019-01-01,Democratic,robinkelly,53
