"name","constituency","term_start","term_end","party","byelection","notes","clean_name","stream"
"Constance, Countess MARKIEVICZ","Dublin, St Patrick's",1918-12-14,1922-01-01,"SF",FALSE,"Did not take seat","constancemarkievicz",1
"Nancy, Viscountess ASTOR, CH","Plymouth, Sutton",1919-11-15,1945-01-01,"Con",TRUE,NA,"nancyastorch",2
"Mrs Margaret WINTRINGHAM","Lincolnshire, Louth",1921-09-22,1924-01-01,"Lib",TRUE,NA,"margaretwintringham",3
"Mrs Mabel PHILIPSON","Berwick-upon-Tweed",1923-05-31,1929-01-01,"Con",TRUE,NA,"mabelphilipson",1
"Katharine, Duchess of ATHOLL, DBE","Perth & Kinross, Kinross & Western",1923-12-06,1938-01-01,"Con",FALSE,NA,"katharineduchessofatholldbe",4
"Rt Hon Margaret BONDFIELD, CH","Northampton",1923-12-06,1924-01-01,"Lab",FALSE,"(First woman Cabinet Minister)","margaretbondfieldch",5
"Miss Dorothea JEWSON","Norwich",1923-12-06,1924-01-01,"Lab",FALSE,NA,"dorotheajewson",6
"Miss Arabella Susan LAWRENCE","East Ham, North",1923-12-06,1924-01-01,"Lab",FALSE,NA,"arabellasusanlawrence",7
"Lady Vera TERRINGTON","Buckinghamshire, Wycombe",1923-12-06,1924-01-01,"Lib",FALSE,NA,"veraterrington",8
"Rt Hon Ellen WILKINSON","Middlesbrough, East",1924-10-29,1931-01-01,"Lab",FALSE,NA,"ellenwilkinson",3
"Rt Hon Margaret BONDFIELD, CH","Wallsend",1926-01-01,1931-01-01,"Lab",TRUE,"(First woman Cabinet Minister)","margaretbondfieldch",5
"Miss Arabella Susan LAWRENCE","East Ham, North",1926-01-01,1931-01-01,"Lab",TRUE,NA,"arabellasusanlawrence",6
"Gwendolen, Countess of IVEAGH, CBE","Southend-on-Sea",1927-11-19,1935-01-01,"Con",TRUE,NA,"gwendolenofiveaghcbe",7
"Hilda RUNCIMAN (later Viscountess)","Cornwall, St Ives",1928-03-06,1929-01-01,"Lib",TRUE,NA,"hildarunciman(later)",8
"Mrs Florence DALTON","Durham, Bishop Auckland",1929-02-07,1929-01-01,"Lab",TRUE,NA,"florencedalton",1
"Rt Hon Miss Jennie LEE (Mrs A Bevan)","Lanarkshire, Northern",1929-03-21,1931-01-01,"Lab",TRUE,NA,"jennielee(abevan)",1
"Dr Ethel BENTHAM","Islington, East",1929-05-30,1931-01-01,"Lab",FALSE,NA,"ethelbentham",8
"Mrs Mary HAMILTON,","Blackburn",1929-05-30,1931-01-01,"Lab",FALSE,NA,"maryhamilton",9
"Lady Megan LLOYD GEORGE","Anglesey",1929-05-30,1951-01-01,"Lib",FALSE,NA,"meganlloydgeorge",10
"Lady Cynthia MOSLEY","Stoke-on-Trent, Stoke",1929-05-30,1931-01-01,"Lab",FALSE,NA,"cynthiamosley",11
"Dr Marion PHILLIPS","Sunderland",1929-05-30,1931-01-01,"Lab",FALSE,NA,"marionphillips",12
"Miss Edith PICTON-TURBERVILL, OBE","Shropshire, The Wrekin",1929-05-30,1931-01-01,"Lab",FALSE,NA,"edithpictonturbervillobe",13
"Miss Eleanor RATHBONE","Combined English Universities",1929-05-30,1946-01-01,"Ind",FALSE,NA,"eleanorrathbone",14
"Lady Lucy NOEL-BUXTON","Norfolk, North",1930-07-09,1931-01-01,"Lab",TRUE,NA,"lucynoelbuxton",15
"Mrs Leah MANNING","Islington, East",1931-02-19,1931-01-01,"Lab",TRUE,NA,"leahmanning",1
"Mrs Thelma CAZALET-KEIR, CBE","Islington, East",1931-10-27,1945-01-01,"Con",FALSE,NA,"thelmacazaletkeircbe",1
"Mrs Ida COPELAND","Stoke-on-Trent, Stoke",1931-10-27,1935-01-01,"Con",FALSE,NA,"idacopeland",3
"Miss Marjorie GRAVES","Hackney, South",1931-10-27,1935-01-01,"Con",FALSE,NA,"marjoriegraves",5
"Rt Hon Dame Florence HORSBURGH","Dundee",1931-10-27,1945-01-01,"Con",FALSE,"(First woman to move the Address in reply to the King's speech)","florencehorsburgh",6
"The Hon Mary PICKFORD, CBE","Hammersmith, North",1931-10-27,1934-01-01,"Con",FALSE,NA,"marypickfordcbe",8
"Mrs Norah RUNGE, OBE","Bermondsey, Rotherhithe",1931-10-27,1935-01-01,"Con",FALSE,NA,"norahrungeobe",9
"Mrs Helen SHAW, MBE","Lanarkshire, Bothwell",1931-10-27,1935-01-01,"Con",FALSE,NA,"helenshawmbe",11
"Mrs Mavis TATE","Willesden, West",1931-10-27,1935-01-01,"Con",FALSE,NA,"mavistate",12
"Dame Irene WARD, CH","Wallsend",1931-10-27,1945-01-01,"Con",FALSE,NA,"irenewardch",13
"Mrs Sarah WARD","Staffordshire, Cannock",1931-10-27,1935-01-01,"Con",FALSE,NA,"sarahward",15
"Rt Hon Ellen WILKINSON","Jarrow",1935-11-14,1947-01-01,"Lab",FALSE,NA,"ellenwilkinson",3
"Mrs Mavis TATE","Somerset, Frome",1935-11-14,1945-01-01,"Con",FALSE,NA,"mavistate",5
"Frances, Viscountess DAVIDSON","Hertfordshire, Hemel Hempstead",1937-06-22,1959-01-01,"Con",TRUE,NA,"francesdavidson",7
"Mrs Agnes HARDIE","Glasgow, Springburn",1937-09-07,1945-01-01,"Lab",TRUE,NA,"agneshardie",8
"Rt Hon Dr Edith SUMMERSKILL, CH","Fulham",1938-04-06,1955-01-01,"Lab",FALSE,NA,"edithsummerskillch",4
"Mrs Jennie ADAMSON","Dartford",1938-11-07,1945-01-01,"Lab",FALSE,NA,"jennieadamson",9
"Mrs Beatrice WRIGHT","Cornwall, Bodmin",1941-03-11,1945-01-01,"Con",TRUE,NA,"beatricewright",11
"Lady Violet APSLEY,","Bristol, Central",1943-02-18,1945-01-01,"Con",TRUE,NA,"violetapsley",12
"Rt Hon Alice BACON, CBE","Leeds, North East",1945-07-05,1955-01-01,"Lab",FALSE,NA,"alicebaconcbe",1
"Mrs Bessie BRADDOCK","Liverpool, Exchange",1945-07-05,1970-01-01,"Lab",FALSE,NA,"bessiebraddock",2
"Rt Hon Barbara CASTLE","Blackburn",1945-07-05,1950-01-01,"Lab",FALSE,NA,"barbaracastle",5
"Miss Grace COLMAN","Tynemouth",1945-07-05,1950-01-01,"Lab",FALSE,NA,"gracecolman",6
"Mrs Freda CORBET","Camberwell, North-West",1945-07-05,1950-01-01,"Lab",FALSE,NA,"fredacorbet",8
"Mrs Caroline GANLEY","Battersea, South",1945-07-05,1951-01-01,"Lab",FALSE,NA,"carolineganley",9
"Mrs Barbara GOULD","Hendon, North",1945-07-05,1950-01-01,"Lab",FALSE,NA,"barbaragould",11
"Rt Hon Miss Margaret HERBISON","Lanarkshire, North",1945-07-05,1970-01-01,"Lab",FALSE,NA,"margaretherbison",12
"Mrs Jean MANN","Lanarkshire, Coatbridge",1945-07-05,1950-01-01,"Lab",FALSE,NA,"jeanmann",13
"Mrs Lucy MIDDLETON","Plymouth, Sutton",1945-07-05,1951-01-01,"Lab",FALSE,NA,"lucymiddleton",15
"Mrs Muriel NICHOL","Bradford, North",1945-07-05,1950-01-01,"Lab",FALSE,NA,"murielnichol",16
"Mrs Florence PATON","Nottinghamshire, Rushcliffe",1945-07-05,1950-01-01,"Lab",FALSE,NA,"florencepaton",17
"Mrs Mabel RIDEALGH","Ilford, North",1945-07-05,1950-01-01,"Lab",FALSE,NA,"mabelridealgh",18
"Mrs Clarice SHAW","Ayrshire & Bute, Kilmarnock",1945-07-05,1946-01-01,"Lab",FALSE,NA,"clariceshaw",19
"Mrs Edith WILLS","Birmingham, Duddeston",1945-07-05,1950-01-01,"Lab",FALSE,NA,"edithwills",20
"Rt Hon Miss Jennie LEE (Mrs A Bevan)","Staffordshire, Cannock",1945-07-05,1970-01-01,"Lab",FALSE,NA,"jennielee(abevan)",21
"Lady Lucy NOEL-BUXTON","Norwich",1945-07-05,1950-01-01,"Lab",FALSE,NA,"lucynoelbuxton",22
"Mrs Leah MANNING","Essex, Epping",1945-07-05,1950-01-01,"Lab",FALSE,NA,"leahmanning",23
"Mrs Jennie ADAMSON","Bexley",1945-07-05,1946-01-01,"Lab",FALSE,NA,"jennieadamson",24
"Priscilla, Lady TWEEDSMUIR","Aberdeen, South",1946-11-26,1966-01-01,"Con",TRUE,"(as Lady Grant of Monymusk to 1948)","priscillatweedsmuir",14
"Mrs Alice CULLEN","Glasgow, Gorbals",1948-09-30,1969-01-01,"Lab",TRUE,NA,"alicecullen",3
"Miss Elaine BURTON","Coventry, South",1950-02-23,1959-01-01,"Lab",FALSE,NA,"elaineburton",5
"Mrs Eveline HILL","Manchester, Wythenshawe",1950-02-23,1964-01-01,"Con",FALSE,NA,"evelinehill",6
"Rt Hon Dame Patricia HORNSBY-SMITH, DBE","Kent, Chislehurst",1950-02-23,1966-01-01,"Con",FALSE,NA,"patriciahornsbysmithdbe",8
"Mrs Dorothy REES","Glamorgan, Barry",1950-02-23,1951-01-01,"Lab",FALSE,NA,"dorothyrees",11
"Mrs Eirene WHITE","Flintshire, East",1950-02-23,1970-01-01,"Lab",FALSE,NA,"eirenewhite",13
"Rt Hon Dame Florence HORSBURGH","Manchester, Moss-Side",1950-02-23,1959-01-01,"Con",FALSE,"(First woman to move the Address in reply to the King's speech)","florencehorsburgh",16
"Dame Irene WARD, CH","Tynemouth",1950-02-23,1974-02-01,"Con",FALSE,NA,"irenewardch",17
"Rt Hon Barbara CASTLE","Blackburn East",1950-02-23,1955-01-01,"Lab",FALSE,NA,"barbaracastle",18
"Mrs Freda CORBET","Camberwell, Peckham",1950-02-23,1974-01-01,"Lab",FALSE,NA,"fredacorbet",19
"Mrs Jean MANN","Coatbridge and Airdire",1950-02-23,1959-01-01,"Lab",FALSE,NA,"jeanmann",20
"Mrs Harriet SLATER","Stoke-on-Trent, North",1953-03-31,1966-01-01,"Lab",TRUE,"(First woman Whip)","harrietslater",9
"Mrs Patricia FORD","Down, North",1953-04-15,1955-01-01,"UU",TRUE,NA,"patriciaford",10
"Dame Edith PITT, DBE","Birmingham, Edgbaston",1953-07-02,1966-01-01,"Con",TRUE,NA,"edithpittdbe",11
"Mrs Lena JEGER","Holborn & St Pancras, South",1953-11-19,1959-01-01,"Lab",TRUE,NA,"lenajeger",15
"Mrs Joyce BUTLER","Wood Green",1955-05-26,1979-01-01,"Lab",FALSE,NA,"joycebutler",1
"The Hon Mrs Evelyn EMMET","East Sussex, East Grinstead",1955-05-26,1964-01-01,"Con",FALSE,NA,"evelynemmet",4
"Mrs Patricia McLAUGHLIN","Belfast, West",1955-05-26,1964-01-01,"UU",FALSE,NA,"patriciamclaughlin",10
"Dame Joan VICKERS, DBE","Plymouth, Devonport",1955-05-26,1974-02-01,"Con",FALSE,NA,"joanvickersdbe",18
"Rt Hon Dr Edith SUMMERSKILL, CH","Warrington",1955-05-26,1961-01-01,"Lab",FALSE,NA,"edithsummerskillch",22
"Rt Hon Alice BACON, CBE","Leeds, South East",1955-05-26,1970-01-01,"Lab",FALSE,NA,"alicebaconcbe",23
"Rt Hon Barbara CASTLE","Blackburn",1955-05-26,1979-01-01,"Lab",FALSE,NA,"barbaracastle",24
"Miss Mervyn PIKE","Leicestershire, Melton",1956-12-19,1974-02-01,"Con",TRUE,NA,"mervynpike",25
"Lady Megan LLOYD GEORGE","Carmarthen",1957-01-01,1966-01-01,"Lib",TRUE,NA,"meganlloydgeorge",26
"Lady Muriel GAMMANS","Hornsey",1957-05-30,1966-01-01,"Con",TRUE,NA,"murielgammans",27
"Mrs Mary McALISTER","Glasgow, Kelvingrove",1958-03-13,1959-01-01,"Lab",TRUE,NA,"marymcalister",28
"Rt Hon Betty HARVIE ANDERSON OBE, TD","Renfrewshire, East",1959-10-08,1979-01-01,"Con",FALSE,"(Deputy Chairman of Ways and Means)","bettyharvieandersonobetd",5
"Rt Hon Dame Judith HART, DBE","Lanark",1959-10-08,1983-01-01,"Lab",FALSE,NA,"judithhartdbe",7
"Rt Hon Margaret THATCHER","Finchley",1959-10-08,1992-01-01,"Con",FALSE,"(First woman Prime Minister)","margaretthatcher",15
"Miss Joan QUENNELL MBE","Petersfield",1960-11-16,1974-10-01,"Con",TRUE,NA,"joanquennellmbe",16
"Mrs Anne KERR","Rochester & Chatham",1964-10-15,1970-01-01,"Lab",FALSE,NA,"annekerr",4
"Mrs Margaret McKAY","Wandsworth, Clapham",1964-10-15,1970-01-01,"Lab",FALSE,NA,"margaretmckay",6
"Mrs Renee SHORT","Wolverhampton, North-East",1964-10-15,1987-01-01,"Lab",FALSE,NA,"reneeshort",10
"Dr the Hon Shirley SUMMERSKILL","Halifax",1964-10-15,1983-01-01,"Lab",FALSE,NA,"theshirleysummerskill",20
"Rt Hon Shirley WILLIAMS","Hertfordshire, Hitchin",1964-10-15,1974-02-01,"Lab",FALSE,NA,"shirleywilliams",22
"Mrs Lena JEGER","Holborn & St Pancras, South",1964-10-15,1979-01-01,"Lab",FALSE,NA,"lenajeger",28
"Mrs Gwyneth DUNWOODY","Exeter",1966-03-31,1970-01-01,"Lab",FALSE,NA,"gwynethdunwoody",8
"Dame Jill KNIGHT, DBE","Birmingham, Edgbaston",1966-03-31,1997-01-01,"Con",FALSE,NA,"jillknightdbe",9
"Miss Joan LESTOR","Eton & Slough",1966-03-31,1983-01-01,"Lab",FALSE,NA,"joanlestor",11
"Mrs Winifred EWING","Lanarkshire, Hamilton",1967-11-02,1970-01-01,"SNP",TRUE,NA,"winifredewing",14
"Miss Bernadette DEVLIN","Mid-Ulster",1969-04-17,1974-02-01,"Ind. Unity",TRUE,"(Youngest woman MP at 21 yrs)","bernadettedevlin",3
"Dame Peggy FENNER, DBE","Rochester & Chatham",1970-06-18,1974-10-01,"Con",FALSE,NA,"peggyfennerdbe",2
"Mrs Doris FISHER","Birmingham, Ladywood",1970-06-18,1974-02-01,"Lab",FALSE,NA,"dorisfisher",4
"Dame Janet FOOKES, DBE","Merton & Morden",1970-06-18,1974-02-01,"Con",FALSE,"(Second Deputy Chairman of Ways and Means)","janetfookesdbe",6
"Miss Joan HALL","Keighley",1970-06-18,1974-02-01,"Con",FALSE,NA,"joanhall",8
"Miss Mary HOLT","Preston, North",1970-06-18,1974-02-01,"Con",FALSE,NA,"maryholt",12
"Dame Elaine KELLETT-BOWMAN, DBE","Lancaster",1970-06-18,1997-01-01,"Con",FALSE,NA,"elainekellettbowmandbe",13
"Mrs Constance MONKS OBE","Chorley",1970-06-18,1974-02-01,"Con",FALSE,NA,"constancemonksobe",14
