id,clean_name,wikidata_id
24726,cathy jamieson,Q727460
24731,rebecca harris,Q478305
24732,nicky morgan,Q580375
24734,margaret curran,Q291748
24737,pamela nash,Q577897
24757,jessica lee,Q750078
24761,sarah wollaston,Q261553
24763,sheila gilmore,Q391416
24769,heather wheeler,Q264374
24771,therese coffey,Q290554
24772,anna soubry,Q389855
24774,lilian greenwood,Q392064
24775,yasmin qureshi,Q267930
24778,priti patel,Q575733
24785,harriett baldwin,Q260429
24788,shabana mahmood,Q695007
24792,laura sandys,Q478832
24795,amber rudd,Q479171
24796,helen grant,Q391792
24801,lorraine fullbrook,Q391029
24805,yvonne fovargue,Q390756
24807,chi onwurah,Q576208
24809,caroline nokes,Q577227
24811,gloria de piero,Q300049
24812,eilidh whiteford,Q264510
24816,liz kendall,Q750260
24818,catherine mckinnell,Q3411409
24821,pauline latham,Q750135
24829,andrea leadsom,Q750091
24831,lisa nandy,Q578037
24842,nicola blackwood,Q263969
24851,rachel reeves,Q574896
24852,valerie vaz,Q266978
24856,karen lumley,Q695147
24857,fiona bruce,Q266078
24868,emma reynolds,Q501942
24871,tracey crouch,Q291557
24873,caroline dinenage,Q300107
24875,sheryll murray,Q578272
24876,margot james,Q727347
24881,julie hilling,Q676781
24882,esther mcvey,Q584062
24891,charlotte leslie,Q749793
24896,kate green,Q391986
24897,alison mcgovern,Q694639
24910,caroline lucas,Q9670
24912,anne marie morris,Q580321
24913,mary macleod,Q695131
24915,claire perry,Q575452
24917,pat glass,Q391442
24918,gemma doyle,Q300389
24924,luciana berger,Q263299
24927,mary glindon,Q391483
24938,penny mordaunt,Q580464
24941,elizabeth truss,Q272201
24942,tessa munt,Q578772
24948,sarah newton,Q577362
24949,stella creasy,Q291502
24952,angie bray,Q264776
24953,heidi alexander,Q259359
24956,teresa pearce,Q575669
24957,jackie doyle-price,Q302036
24958,rushanara ali,Q259423
25034,debbie abrahams,Q258088
25150,seema malhotra,Q694984
25165,lucy powell,Q6698469
25168,sarah champion,Q7422176
25181,emma lewell-buck,Q16190712
25230,liz mcinnes,Q18211142
25259,alison margaret ,Q2647251
25269,mhairi black,Q19863151
25272,suella fernandes,Q19957769
25274,tasmina ahmed-sheikh,Q16934040
25276,lisa cameron,Q19871819
25277,marion fellows,Q19881816
25283,julie cooper,Q19872266
25284,rupa huq,Q7380182
25287,margaret ferrier,Q19883129
25294,kirsten oswald,Q19874839
25295,angela crawley,Q19883053
25298,kate hollern,Q19874280
25300,patricia gibson,Q19883132
25302,liz saville-roberts,Q19868633
25303,natalie mcgarry,Q16732295
25304,jo stevens,Q20128115
25308,carolyn harris,Q19958026
25310,helen hayes,Q19874017
25311,victoria borwick,Q7926595
25313,anna turley,Q20648420
25314,kirsty blackman,Q19868554
25316,michelle donelan,Q19872694
25317,melanie onn,Q20054075
25318,philippa whitford,Q19874405
25319,colleen fletcher,Q19957790
25321,marie rimmer,Q20648527
25327,alison thewliss,Q19882771
25328,catherine west,Q19871931
25330,mims davies,Q19957306
25332,christina rees,Q20648332
25333,tania mathias,Q20647740
25335,caroline ansell,Q19870758
25336,deidre brock,Q19871637
25337,lucy allan,Q16150309
25342,wendy morton,Q19917814
25343,ruth cadbury,Q19871785
25344,tulip siddiq,Q7852071
25348,heidi allen,Q19870689
25349,margaret greenwood,Q19957949
25350,amanda milling,Q20648982
25352,michelle thomson,Q20027903
25354,nusrat ghani,Q19957887
25357,louise haigh,Q19957992
25358,sue hayman,Q19874021
25363,antoinette sandbach,Q4775602
25364,jess phillips,Q19979409
25365,kate osamor,Q20022488
25368,rebecca long-bailey,Q19979355
25371,maggie throup,Q20647819
25380,vicky foxcroft,Q19957802
25385,naseem shah,Q19882845
25389,seema kennedy,Q20195397
25390,karin smyth,Q17057181
25392,flick drummond,Q19872756
25393,judith cummins,Q19957188
25394,jo cox,Q19872361
25397,maria caulfield,Q19956815
25398,helen whately,Q20747098
25399,lucy frazer,Q19957811
25401,corri wilson,Q19883283
25402,thangam debbonaire,Q19882875
25404,joanna cherry,Q19882967
25405,mary robinson,Q20648564
25406,carol monaghan,Q19875589
25407,rebecca pow,Q20647855
25408,jo churchill,Q19872133
25409,hannah bardell,Q19882420
25420,victoria prentis,Q20054083
25421,paula sherriff,Q20647924
25424,victoria atkins,Q19938362
25429,angela rayner,Q18164278
25430,kelly tolhurst,Q20055581
25431,andrea jenkyns,Q19874642
