id,full_name,party,gender,state,congressional terminology_x,congressional terminology_y,government budget_x,government budget_y,agriculture_x,agriculture_y,border enforcement_x,border enforcement_y,trade policy_x,trade policy_y,military_x,military_y,foreign policy_x,foreign policy_y,financial sector_x,financial sector_y,iraq & afghanistan wars_x,iraq & afghanistan wars_y,sports_x,sports_y,drugs war_x,drugs war_y,veteran affairs_x,veteran affairs_y,energy policy_x,energy policy_y,tobacco_x,tobacco_y,african-americans_x,african-americans_y,environment_x,environment_y,infrastructure & transportation_x,infrastructure & transportation_y,arts_x,arts_y,human rights in china_x,human rights in china_y,secondary education_x,secondary education_y,homeland security_x,homeland security_y,natural disasters_x,natural disasters_y,affordable housing_x,affordable housing_y,worker's rights_x,worker's rights_y,child welfare_x,child welfare_y,healthcare_x,healthcare_y
B000287,Xavier Becerra,Democrat,0,CA,-37.273,22.286,-10.998,10.929,-122.987,0.424,-23.175,1.787,-91.966,1.634,-53.280,1.154,-56.173,3.215,-108.607,0.830,-8.416,1.974,-20.937,1.570,-58.540,0.506,-21.753,4.589,-110.989,0.211,-52.305,0.427,-24.284,3.757,-89.998,1.053,-26.185,0.926,-343.239,0.371,-41.508,0.868,-63.237,2.447,-1.000,2.027,-101.895,0.876,-192.880,0.783,-7.654,4.283,-25.902,2.793,-6.408,10.332
B000318,Anthony Beilenson,Democrat,0,CA,-1.000,87.000,-18.624,5.864,-136.873,0.212,-41.617,0.674,-2.988,4.510,-13.559,3.751,-68.505,0.926,-128.131,0.441,-186.437,0.845,-31.976,0.360,-6.056,0.233,-9.806,0.305,-37.958,1.373,-654.157,0.000,-38.751,0.803,-21.328,3.150,-10.626,2.209,-454.059,0.358,-369.356,0.207,-61.719,0.347,-34.516,2.596,-16.510,1.552,-71.066,0.427,-118.700,0.684,-109.640,0.983,-4.763,9.162
B000400,Ken Bentsen,Democrat,0,TX,-16.998,27.000,-10.984,9.659,-58.170,1.183,-123.713,0.861,-14.148,3.372,-40.924,4.500,-39.485,2.481,-1.000,3.669,-192.144,0.820,-17.661,1.454,-405.085,0.331,-18.452,1.487,-145.485,0.708,-136.853,0.511,-31.583,4.487,-77.056,1.804,-25.895,1.680,-50.221,0.622,-110.854,0.651,-66.556,2.678,-54.678,2.601,-113.548,1.270,-1.000,1.157,-35.380,0.735,-13.290,1.888,-3.000,24.000
B000410,Howard Berman,Democrat,0,CA,-20.414,45.643,-38.707,0.615,-99.633,0.402,-136.020,0.829,-4.998,6.429,-22.654,5.786,-1.000,12.214,-165.197,0.297,-40.332,1.642,-51.706,1.114,-204.585,0.260,-18.425,1.916,-74.089,0.380,-38.114,0.748,-55.650,3.165,-111.831,0.631,-103.448,1.118,-317.901,0.371,-8.618,2.683,-32.358,1.293,-5.000,9.429,-157.168,0.647,-40.743,0.298,-149.551,1.210,-264.971,0.527,-7.928,3.477
B000420,Robert Berry,Democrat,0,AR,-8.999,9.429,-24.688,9.000,-1.000,5.154,-37.556,1.294,-40.310,2.987,-34.438,0.616,-64.007,0.626,-122.417,0.904,-37.651,0.743,-111.205,1.144,-342.800,0.187,-10.915,8.107,-39.891,0.530,-302.467,0.371,-35.569,4.516,-25.310,0.820,-99.814,0.456,-133.284,0.321,-261.134,0.214,-51.564,1.417,-50.922,0.921,-179.970,0.857,-23.455,0.206,-152.790,1.172,-78.312,1.109,-3.000,32.357
B000431,Tom Bevill,Democrat,0,AL,-1.000,39.000,-4.458,5.615,-11.360,2.659,-36.345,0.731,-46.379,1.295,-15.425,2.990,-73.604,0.377,-32.548,0.000,-173.084,0.196,-189.450,0.604,-246.029,0.213,-3.150,7.046,-4.121,1.574,-11.786,0.423,-25.571,2.215,-10.993,4.513,-76.819,1.743,-555.925,0.359,-471.203,0.000,-37.353,1.106,-35.577,0.462,-69.397,1.004,-237.889,0.427,-143.393,1.026,-14.492,2.466,-19.532,6.485
B000444,Joseph Biden,Democrat,0,DE,-2.924,21.899,-17.003,5.327,-133.411,0.000,-1.000,14.143,-27.404,0.316,-60.887,0.000,-47.470,4.071,-36.549,0.000,-155.665,0.205,-33.649,0.000,-1.000,1.838,-13.272,0.736,-31.208,0.000,-36.486,0.000,-15.382,0.794,-84.054,0.044,-31.230,0.000,-35.401,0.000,-41.697,0.000,-32.321,0.178,-28.009,0.000,-150.285,0.209,-97.182,0.452,-33.586,0.414,-34.950,0.000,-38.825,0.000
B000462,James Bilbray,Democrat,0,NV,-22.978,31.714,-50.164,0.929,-210.256,0.000,-33.191,0.000,-5.000,4.726,-13.181,4.720,-5.000,15.857,-132.810,1.308,-51.463,0.912,-129.578,0.763,-37.701,0.100,-9.728,1.165,-13.579,0.429,-429.545,0.371,-63.985,3.643,-5.000,12.000,-37.226,0.370,-547.862,0.206,-43.400,0.107,-26.156,3.411,-24.650,4.935,-134.400,0.208,-243.222,0.284,-97.220,0.489,-37.921,0.137,-6.550,9.259
B000468,Jeff Bingaman,Democrat,0,NM,-5.000,58.929,-17.452,0.423,-40.055,0.089,-144.855,0.567,-29.338,1.354,-1.000,57.643,-35.515,4.373,-15.039,2.985,-17.554,3.100,-1.000,0.082,-11.043,1.696,-76.121,0.000,-199.529,0.456,-39.939,0.000,-81.916,1.989,-14.109,2.270,-10.375,3.128,-41.559,0.723,-45.105,0.000,-60.119,1.773,-1.000,5.610,-38.267,0.161,-324.864,0.137,-37.029,0.000,-86.452,1.733,-28.778,3.898
B000490,Sanford Bishop,Democrat,0,GA,-2.928,18.602,-3.635,2.500,-6.998,3.442,-158.945,0.340,-60.368,1.351,-4.999,8.357,-31.419,2.008,-207.739,0.315,-156.837,0.759,-2.546,1.790,-363.207,0.185,-3.000,11.571,-12.972,0.661,-206.292,0.185,-3.000,12.857,-20.166,0.663,-98.210,1.193,-963.311,0.000,-95.380,0.672,-49.515,2.381,-28.273,3.088,-273.413,0.699,-89.832,0.799,-31.029,2.072,-39.559,1.209,-6.880,6.221
